time,load,tmp1,wind1,swrad1
2023-03-08 20:00:00+00:00,19.0,-5.6815,11.966953,0.0
2023-03-08 21:00:00+00:00,12.0,-5.8315,11.720751,0.0
2023-03-08 22:00:00+00:00,10.0,-5.7315,10.823973,0.0
2023-03-08 23:00:00+00:00,25.0,-5.9815,9.726665,9.0
2023-03-09 00:00:00+00:00,8.0,-5.9315,12.959999,82.0
2023-03-09 01:00:00+00:00,8.0,-5.0815,14.869351,225.0
2023-03-09 02:00:00+00:00,8.0,-3.0315,15.39184,355.0
2023-03-09 03:00:00+00:00,7.0,-1.8315,14.934577,541.0
2023-03-09 04:00:00+00:00,8.0,-1.0815,14.039999,634.0
2023-03-09 05:00:00+00:00,13.0,-0.3315,13.5515,639.0
2023-03-09 06:00:00+00:00,18.0,0.9185,12.413476,588.0
2023-03-09 07:00:00+00:00,19.157,1.1685,12.758432,478.0
2023-03-09 08:00:00+00:00,23.7,0.96849996,11.165805,331.0
2023-03-09 09:00:00+00:00,39.908,0.118499994,7.5685663,130.0
2023-03-09 10:00:00+00:00,24.712,-1.4315,2.8116899,19.0
2023-03-09 11:00:00+00:00,22.877,-1.8315,0.8049845,0.0
2023-03-09 12:00:00+00:00,27.481,-2.7315001,3.319036,0.0
2023-03-09 13:00:00+00:00,33.016,-3.3815,3.2399998,0.0
2023-03-09 14:00:00+00:00,20.83,-3.9815001,2.6208394,0.0
2023-03-09 15:00:00+00:00,23.158,-4.2315,2.8116899,0.0
2023-03-09 16:00:00+00:00,24.461,-4.6815,3.319036,0.0
2023-03-09 17:00:00+00:00,20.496,-5.3315,4.0249224,0.0
2023-03-09 18:00:00+00:00,18.0,-5.0315,5.4477882,0.0
2023-03-09 19:00:00+00:00,28.0,-5.2315,6.519877,0.0
2023-03-09 20:00:00+00:00,8.0,-4.6315002,9.6932955,0.0
2023-03-09 21:00:00+00:00,9.0,-4.6315002,14.345898,0.0
2023-03-09 22:00:00+00:00,6.0,-4.8815002,18.556595,0.0
2023-03-09 23:00:00+00:00,7.0,-5.1315002,23.683512,5.0
2023-03-10 00:00:00+00:00,6.0,-5.2815,24.826952,25.0
2023-03-10 01:00:00+00:00,18.0,-5.1815,29.598919,61.0
2023-03-10 02:00:00+00:00,6.9,-4.0815,32.730316,185.0
2023-03-10 03:00:00+00:00,10.0,-3.0315,33.108257,337.0
2023-03-10 04:00:00+00:00,7.0,-0.98149997,31.950888,438.0
2023-03-10 05:00:00+00:00,8.0,0.46850002,31.093666,521.0
2023-03-10 06:00:00+00:00,18.1,-0.081499994,36.941685,233.0
2023-03-10 07:00:00+00:00,11.056,-3.1315,40.10406,122.0
2023-03-10 08:00:00+00:00,27.355,-4.1815,39.37353,108.0
2023-03-10 09:00:00+00:00,28.181,-4.6815,36.93291,107.0
2023-03-10 10:00:00+00:00,40.179,-6.2815,40.340885,16.0
2023-03-10 11:00:00+00:00,35.012,-6.8815002,39.04797,0.0
2023-03-10 12:00:00+00:00,28.299,-7.9315,38.687855,0.0
2023-03-10 13:00:00+00:00,38.44,-9.3315,36.088093,0.0
2023-03-10 14:00:00+00:00,34.956,-10.3315,35.64727,0.0
2023-03-10 15:00:00+00:00,27.348000000000003,-11.1315,35.66908,0.0
2023-03-10 16:00:00+00:00,38.709,-11.7815,36.06474,0.0
2023-03-10 17:00:00+00:00,22.192,-12.5315,35.369884,0.0
2023-03-10 18:00:00+00:00,33.0,-12.5315,31.68,0.0
2023-03-10 19:00:00+00:00,17.0,-13.3315,31.68,0.0
2023-03-10 20:00:00+00:00,10.0,-14.1315,30.962095,0.0
2023-03-10 21:00:00+00:00,9.0,-14.9815,31.338614,0.0
2023-03-10 22:00:00+00:00,17.0,-15.6815,31.338614,0.0
2023-03-10 23:00:00+00:00,18.0,-16.0815,32.76198,24.0
2023-03-11 00:00:00+00:00,7.0,-15.2815,35.287346,171.0
2023-03-11 01:00:00+00:00,8.0,-14.5815,37.123665,352.0
2023-03-11 02:00:00+00:00,8.0,-13.7815,37.938602,505.0
2023-03-11 03:00:00+00:00,17.0,-13.0815,38.183765,613.0
2023-03-11 04:00:00+00:00,18.0,-12.4315,37.88048,670.0
2023-03-11 05:00:00+00:00,12.0,-11.8815,37.47114,657.0
2023-03-11 06:00:00+00:00,17.0,-12.2815,32.85678,597.0
2023-03-11 07:00:00+00:00,26.207,-12.4315,31.845251,442.0
2023-03-11 08:00:00+00:00,15.4,-12.9315,30.77105,289.0
2023-03-11 09:00:00+00:00,23.925,-13.5815,29.784426,139.0
2023-03-11 10:00:00+00:00,8.61,-14.2315,31.012281,23.0
2023-03-11 11:00:00+00:00,26.973,-14.3815,27.943514,0.0
2023-03-11 12:00:00+00:00,24.094,-14.7815,23.0653,0.0
2023-03-11 13:00:00+00:00,15.907,-14.6815,22.505037,0.0
2023-03-11 14:00:00+00:00,20.439,-15.0315,20.969805,0.0
2023-03-11 15:00:00+00:00,16.271,-15.2815,19.64558,0.0
2023-03-11 16:00:00+00:00,19.81,-15.4815,18.692286,0.0
2023-03-11 17:00:00+00:00,16.438,-15.8315,18.161278,0.0
2023-03-11 18:00:00+00:00,14.0,-16.631498,18.584509,0.0
2023-03-11 19:00:00+00:00,9.0,-17.0815,18.228943,0.0
2023-03-11 20:00:00+00:00,18.1,-17.481499,17.935081,0.0
2023-03-11 21:00:00+00:00,9.0,-17.981499,18.079027,0.0
2023-03-11 22:00:00+00:00,8.3,-18.481499,17.298738,0.0
2023-03-11 23:00:00+00:00,8.2,-18.631498,16.09969,26.0
2023-03-12 00:00:00+00:00,9.0,-17.631498,19.416653,174.0
2023-03-12 01:00:00+00:00,7.0,-16.2815,21.218632,354.0
2023-03-12 02:00:00+00:00,7.0,-14.8315,22.086521,504.0
2023-03-12 03:00:00+00:00,8.0,-13.5315,23.006226,613.0
2023-03-12 04:00:00+00:00,9.0,-12.4815,23.598541,670.0
2023-03-12 05:00:00+00:00,15.0,-11.8315,23.933907,671.0
2023-03-12 06:00:00+00:00,12.0,-11.1815,23.598541,617.0
2023-03-12 07:00:00+00:00,10.0,-11.2315,23.540806,511.0
2023-03-12 08:00:00+00:00,15.116,-11.5315,22.057161,364.0
2023-03-12 09:00:00+00:00,9.613,-12.2815,20.316889,190.0
2023-03-12 10:00:00+00:00,17.046,-13.3815,16.489416,34.0
2023-03-12 11:00:00+00:00,27.048,-14.2315,13.755579,0.0
2023-03-12 12:00:00+00:00,15.74,-15.4315,11.988594,0.0
2023-03-12 13:00:00+00:00,36.216,-16.0815,9.686609,0.0
2023-03-12 14:00:00+00:00,25.341,-16.631498,5.692099,0.0
2023-03-12 15:00:00+00:00,14.687,-17.0815,3.7064266,0.0
2023-03-12 16:00:00+00:00,15.51,-17.631498,3.319036,0.0
2023-03-12 17:00:00+00:00,22.047,-18.1815,3.2599385,0.0
2023-03-12 18:00:00+00:00,16.0,-19.981499,2.0991426,0.0
2023-03-12 19:00:00+00:00,15.0,-20.1815,2.6208394,0.0
2023-03-12 20:00:00+00:00,19.0,-20.4315,2.5455842,0.0
2023-03-12 21:00:00+00:00,18.0,-20.5315,2.16,0.0
