time_stamp,load_gross_real_power_kW
2023-08-18 23:35:31.054882-07:00,5.0
2023-08-19 00:00:57.430810-07:00,6.0
2023-08-19 01:02:28.801250-07:00,6.0
2023-08-19 02:04:02.847450-07:00,6.0
2023-08-19 03:05:40.314842-07:00,6.0
2023-08-19 04:07:21.447503-07:00,5.0
2023-08-19 05:09:04.312044-07:00,5.0
2023-08-19 06:10:46.431931-07:00,5.0
2023-08-19 07:12:28.224965-07:00,5.321000000000001
2023-08-19 08:14:12.268145-07:00,5.031
2023-08-19 09:15:56.941600-07:00,9.407
2023-08-19 10:17:39.584036-07:00,7.251
2023-08-19 11:19:23.197915-07:00,7.534
2023-08-19 12:21:00.867113-07:00,12.084
2023-08-19 13:22:45.853361-07:00,7.95
2023-08-19 14:24:33.551145-07:00,5.813000000000001
2023-08-19 15:26:17.114491-07:00,15.031
2023-08-19 16:27:57.937344-07:00,13.275
2023-08-19 17:29:42.041459-07:00,13.146
2023-08-19 18:31:26.832686-07:00,13.666
2023-08-19 19:33:11.273404-07:00,11.157
2023-08-19 20:33:49.330986-07:00,8.0
2023-08-19 21:35:29.864475-07:00,7.0
2023-08-19 22:37:22.452723-07:00,6.0
2023-08-19 23:39:03.982835-07:00,7.0
2023-08-20 00:01:00.613608-07:00,5.0
2023-08-20 01:02:43.665879-07:00,5.0
2023-08-20 02:04:27.219812-07:00,10.0
2023-08-20 03:06:11.018807-07:00,5.0
2023-08-20 04:07:53.595155-07:00,6.0
2023-08-20 05:09:37.383324-07:00,6.0
2023-08-20 06:11:17.772080-07:00,5.0
2023-08-20 07:13:00.699020-07:00,5.351
2023-08-20 08:14:44.974645-07:00,5.053999999999999
2023-08-20 09:16:27.434262-07:00,5.563000000000001
2023-08-20 10:18:06.080255-07:00,12.12
2023-08-20 11:19:50.497240-07:00,7.383
2023-08-20 12:21:31.727314-07:00,6.827
2023-08-20 13:23:21.585637-07:00,5.645
2023-08-20 14:25:06.173052-07:00,7.536
2023-08-20 15:26:46.527191-07:00,10.121
2023-08-20 16:28:21.417932-07:00,6.401
2023-08-20 17:30:03.451599-07:00,10.15
2023-08-20 18:31:44.793431-07:00,9.619
2023-08-20 19:33:26.179922-07:00,7.143
2023-08-20 20:35:08.276902-07:00,7.0
2023-08-20 21:36:54.302032-07:00,12.0
2023-08-20 22:38:34.011259-07:00,6.0
2023-08-20 23:40:14.295235-07:00,7.0
2023-08-21 00:00:58.592466-07:00,5.0
2023-08-21 01:02:35.555008-07:00,6.0
2023-08-21 02:04:11.224906-07:00,6.1
2023-08-21 03:05:51.236375-07:00,6.0
